argos config file,classes,trials,mean final dispersion
individual_0_gen_1.dat_experiments-1_class-10_in_clusters.argos_robot_poses.json,1,10,360
individual_0_gen_1.dat_experiments-1_class-10_in_clusters.argos_robot_poses.json,1,10,353
individual_0_gen_1.dat_experiments-1_class-10_in_clusters.argos_robot_poses.json,1,10,384
individual_0_gen_1.dat_experiments-1_class-10_in_clusters.argos_robot_poses.json,1,10,374
individual_0_gen_1.dat_experiments-1_class-10_in_clusters.argos_robot_poses.json,1,10,357
individual_0_gen_1.dat_experiments-1_class-10_in_clusters.argos_robot_poses.json,1,10,361
individual_0_gen_1.dat_experiments-1_class-10_in_clusters.argos_robot_poses.json,1,10,362
individual_0_gen_1.dat_experiments-1_class-10_in_clusters.argos_robot_poses.json,1,10,363
individual_0_gen_1.dat_experiments-1_class-10_in_clusters.argos_robot_poses.json,1,10,371
individual_0_gen_1.dat_experiments-1_class-10_in_clusters.argos_robot_poses.json,1,10,369
individual_0_gen_1.dat_experiments-1_class-10_in_lines.argos_robot_poses.json,1,10,418
individual_0_gen_1.dat_experiments-1_class-10_in_lines.argos_robot_poses.json,1,10,491
individual_0_gen_1.dat_experiments-1_class-10_in_lines.argos_robot_poses.json,1,10,430
individual_0_gen_1.dat_experiments-1_class-10_in_lines.argos_robot_poses.json,1,10,383
individual_0_gen_1.dat_experiments-1_class-10_in_lines.argos_robot_poses.json,1,10,437
individual_0_gen_1.dat_experiments-1_class-10_in_lines.argos_robot_poses.json,1,10,396
individual_0_gen_1.dat_experiments-1_class-10_in_lines.argos_robot_poses.json,1,10,465
individual_0_gen_1.dat_experiments-1_class-10_in_lines.argos_robot_poses.json,1,10,435
individual_0_gen_1.dat_experiments-1_class-10_in_lines.argos_robot_poses.json,1,10,438
individual_0_gen_1.dat_experiments-1_class-10_in_lines.argos_robot_poses.json,1,10,542
individual_0_gen_1.dat_experiments-1_class-3_in_clusters.argos_robot_poses.json,1,10,30
individual_0_gen_1.dat_experiments-1_class-3_in_clusters.argos_robot_poses.json,1,10,29
individual_0_gen_1.dat_experiments-1_class-3_in_clusters.argos_robot_poses.json,1,10,31
individual_0_gen_1.dat_experiments-1_class-3_in_clusters.argos_robot_poses.json,1,10,30
individual_0_gen_1.dat_experiments-1_class-3_in_clusters.argos_robot_poses.json,1,10,30
individual_0_gen_1.dat_experiments-1_class-3_in_clusters.argos_robot_poses.json,1,10,30
individual_0_gen_1.dat_experiments-1_class-3_in_clusters.argos_robot_poses.json,1,10,30
individual_0_gen_1.dat_experiments-1_class-3_in_clusters.argos_robot_poses.json,1,10,30
individual_0_gen_1.dat_experiments-1_class-3_in_clusters.argos_robot_poses.json,1,10,30
individual_0_gen_1.dat_experiments-1_class-3_in_clusters.argos_robot_poses.json,1,10,33
individual_0_gen_1.dat_experiments-1_class-3_in_lines.argos_robot_poses.json,1,10,30
individual_0_gen_1.dat_experiments-1_class-3_in_lines.argos_robot_poses.json,1,10,29
individual_0_gen_1.dat_experiments-1_class-3_in_lines.argos_robot_poses.json,1,10,30
individual_0_gen_1.dat_experiments-1_class-3_in_lines.argos_robot_poses.json,1,10,30
individual_0_gen_1.dat_experiments-1_class-3_in_lines.argos_robot_poses.json,1,10,31
individual_0_gen_1.dat_experiments-1_class-3_in_lines.argos_robot_poses.json,1,10,31
individual_0_gen_1.dat_experiments-1_class-3_in_lines.argos_robot_poses.json,1,10,31
individual_0_gen_1.dat_experiments-1_class-3_in_lines.argos_robot_poses.json,1,10,30
individual_0_gen_1.dat_experiments-1_class-3_in_lines.argos_robot_poses.json,1,10,31
individual_0_gen_1.dat_experiments-1_class-3_in_lines.argos_robot_poses.json,1,10,30
individual_0_gen_1.dat_experiments-1_class-4_in_clusters.argos_robot_poses.json,1,10,57
individual_0_gen_1.dat_experiments-1_class-4_in_clusters.argos_robot_poses.json,1,10,56
individual_0_gen_1.dat_experiments-1_class-4_in_clusters.argos_robot_poses.json,1,10,55
individual_0_gen_1.dat_experiments-1_class-4_in_clusters.argos_robot_poses.json,1,10,57
individual_0_gen_1.dat_experiments-1_class-4_in_clusters.argos_robot_poses.json,1,10,60
individual_0_gen_1.dat_experiments-1_class-4_in_clusters.argos_robot_poses.json,1,10,58
individual_0_gen_1.dat_experiments-1_class-4_in_clusters.argos_robot_poses.json,1,10,58
individual_0_gen_1.dat_experiments-1_class-4_in_clusters.argos_robot_poses.json,1,10,60
individual_0_gen_1.dat_experiments-1_class-4_in_clusters.argos_robot_poses.json,1,10,55
individual_0_gen_1.dat_experiments-1_class-4_in_clusters.argos_robot_poses.json,1,10,55
individual_0_gen_1.dat_experiments-1_class-4_in_lines.argos_robot_poses.json,1,10,54
individual_0_gen_1.dat_experiments-1_class-4_in_lines.argos_robot_poses.json,1,10,59
individual_0_gen_1.dat_experiments-1_class-4_in_lines.argos_robot_poses.json,1,10,58
individual_0_gen_1.dat_experiments-1_class-4_in_lines.argos_robot_poses.json,1,10,57
individual_0_gen_1.dat_experiments-1_class-4_in_lines.argos_robot_poses.json,1,10,57
individual_0_gen_1.dat_experiments-1_class-4_in_lines.argos_robot_poses.json,1,10,56
