"6 -1. 0.3333 0.3333 1.-1. 1."
"6 0.3333 -1. 1. 0.3333 1. -1."
"6 -1. 0.3333 0.3333 1. -1. 0.6667"
"6 0.3333 -1. 1. 0.3333 0.6667 -1."
"6 -1. 0. 0.3333 1. -1. 1."
"6 -1. 0. 0.3333 1. -0.6667 0.6667"
"6 0.6667 -1. 1. 0.3333 1. -1."
"6 0.3333 -1. 1. 0.3333 1. -0.6667"
"6 -1. 0.3333 0.3333 1. -0.6667 1."
"6 0.3333 -1. 1. 0.3333 0.6667 -0.6667"
"6 -1. 0. 0.3333 1. -1. 0.3333"
"6 0. -1. 1. 0.3333 0.6667 -1."
"6 -1. 0.3333 0.3333 1. -1. 0.3333"
"6 -1. 0. 0.3333 1. -1. 0.6667"
"6 0. -1. 1. 0.3333 0.6667 -0.6667"
"6 0. -1. 1. 0.3333 1. -1."
"6 0. -1. 1. 0.3333 0.3333 -1."
"6 0.3333 -1. 1. 0.3333 0.3333 -1."
"6 -1. 0. 0.3333 1. -0.6667 0.3333"
"6 -1. 0.3333 0.3333 1. -0.6667 0.6667"
"6 0.6667 -1. 1. 0.3333 1. -0.6667"
"6 0.3333 -1. 1. 0.3333 0.3333 -0.6667"
"6 -1. 0.3333 0.3333 1. -0.6667 0.3333"
"6 -1. 1. 0.3333 1. -0.6667 1."
"6 -1. 0.6667 0.3333 1. -1. 1."
"6 -1. 0.6667 0.3333 1. -0.6667 1."
"6 0. -1. 1. 0.3333 1. -0.6667"
"6 -1. 0.6667 0.3333 1. -1. 0.6667"
"6 0.6667 -1. 1. 0.3333 0.6667 -0.6667"
"6 0.6667 -1. 1. 0.3333 0.6667 -1."
"6 -1. 0.6667 0.3333 1. -0.6667 0.6667"
"6 -1. 0. 0.3333 1. -1. 0."
"6 -1. 0.3333 0.3333 1. -0.3333 0.6667"
"6 0. -1. 1. 0.3333 0. -1."
"6 0. -1. 1. 0.3333 0.3333 -0.6667"
"6 -1. 0. 0.3333 1. -0.6667 1."
"6 0.6667 -0.6667 0.6667 1. 0.6667 -0.3333"
"6 -0.6667 0.3333 0.3333 1. -1. 0.6667"
"6 0.6667 -0.6667 0.3333 1. 1. 0."
"6 -0.6667 0. 0.3333 1. -1. 0.3333"
"6 0.3333 -1. 1. 0.3333 0.6667 -0.3333"
"6 -1. 1. 0.3333 1. -1. 1."
"6 0. -0.6667 1. 0.3333 1. -1."
"6 1. -1. 1. 0.3333 1. -1."
"6 -0.3333 -1. 1. 0.3333 0.3333 -1."
"6 1. -1. 1. 0.3333 1. -0.6667"
"6 0. -0.6667 1. 0.3333 0.6667 -1."
"6 0. -1. 1. 0.3333 0.3333 -0.3333"
"6 -1. 0.3333 0.3333 1. -0.3333 0.3333"
"6 -0.3333 -1. 1. 0.3333 0.3333 -0.6667"
"6 -1. 0. 0.3333 1. -0.3333 0.6667"
"6 -1. -0.3333 0.3333 1. -1. 0."
"6 1. -1. 1. 0.3333 0.6667 -0.3333"
"6 1. -1. 0.6667 1. 1. 0."
"6 -0.6667 0. 0.3333 1. -1. 0.6667"
"6 -1. 1. 1. 0.3333 -0.3333 0.6667"
"6 1. -1. 0.6667 1. 1. -0.6667"
"6 -1. 0.6667 0.3333 1. -0.3333 0.6667"
"6 -0.6667 0.3333 0.3333 1. -1. 1."
"6 -0.6667 0.3333 0.3333 1. -0.6667 1."
"6 0.3333 -0.6667 1. 0.3333 1. -1."
"6 -0.6667 0. 0.3333 1. -1. 1."
"6 -1. 1. 1. 0.3333 0. 1."
"6 -1. 0. 0. 1. -1. 0.3333"
"6 1. -1. 0.6667 1. 1. -0.3333"
"6 -1. 1. 1. 0.3333 -0.6667 1."
"6 1. -1. 0.6667 1. 0.6667 -0.3333"
"6 -1. 0.6667 0.3333 1. -0.6667 0.3333"
"6 1. -1. 1. 0.3333 1. -0.3333"
"6 -1. 1. 0.3333 1. -0.6667 0.6667"
"6 -1. 0. 0.3333 1. -0.6667 0."
"6 -1. 1. 0.3333 1. -0.3333 0.6667"
"6 -0.3333 -1. 1. 0.3333 0. -1."
"6 1. -1. 0.6667 1. 0.3333 -0.6667"
"6 -0.6667 0. 0.3333 1. -0.6667 0.6667"
"6 0.6667 -1. 1. 0.3333 0.3333 -0.6667"
"6 1. -1. 0.3333 1. 1. 0."
"6 -1. 0.3333 0.3333 1. -1. 0."
"6 0. -1. 1. 0.3333 0. -0.6667"
"6 1. -1. 0.6667 1. 0.6667 0."
"6 -0.6667 1. 1. 0.3333 0.3333 1."
"6 0.6667 -1. 1. 0.3333 1. -0.3333"
"6 0. -0.6667 1. 0.3333 0.6667 -0.6667"
"6 -1. 0. 0.3333 1. -0.3333 0.3333"
"6 0. -0.6667 1. 0.3333 0.3333 -1."
"6 -1. -0.3333 0.3333 1. -1. 0.3333"
"6 0.6667 -1. 0.6667 1. 1. 0."
"6 1. -1. 0.6667 1. 0.3333 -1."
"6 1. -1. 0.6667 1. 1. -1."
"6 0.3333 -0.6667 1. 0.3333 0.6667 -1."
"6 0.6667 -1. 1. 0.3333 0.6667 -0.3333"
"6 0.3333 -1. 1. 0.3333 0.3333 -0.3333"
"6 1. -1. 0.3333 1. 1. -1."
"6 -1. 0.6667 0.3333 1. -0.3333 1."
"6 -1. -0.3333 0.3333 1. -1. 0.6667"
"6 0.6667 -0.6667 0.6667 1. 1. -0.6667"
"6 0.6667 -1. 1. 0.3333 0.3333 -1."
"6 -0.6667 0.3333 0.3333 1. -0.6667 0.6667"
"6 0.6667 -0.6667 0.3333 1. 1. -0.3333"
"6 -1. 1. 1. 0.3333 0.3333 1."
