- - - - - - - experiments/1_class/10_in_clusters.argos experiments/1_class/10_in_lines.argos experiments/1_class/3_in_clusters.argos experiments/1_class/3_in_lines.argos experiments/1_class/4_in_clusters.argos experiments/1_class/4_in_lines.argos experiments/1_class/5_in_clusters.argos experiments/1_class/5_in_lines.argos experiments/1_class/6_in_clusters.argos experiments/1_class/7_in_clusters.argos experiments/2_class/10_in_clusters.argos experiments/2_class/10_in_lines.argos experiments/2_class/3_in_clusters.argos experiments/2_class/3_in_lines.argos experiments/2_class/4_in_clusters.argos experiments/2_class/4_in_lines.argos experiments/2_class/5_in_clusters.argos experiments/2_class/5_in_lines.argos experiments/4_class/10_in_clusters.argos experiments/4_class/10_in_lines.argos experiments/4_class/12_uniform_0.05_density.argos experiments/4_class/12_uniform_0.10_density.argos experiments/4_class/12_uniform_0.20_density.argos experiments/4_class/16_uniform_0.05_density.argos experiments/4_class/16_uniform_0.10_density.argos experiments/4_class/16_uniform_0.20_density.argos experiments/4_class/20_uniform_0.05_density.argos experiments/4_class/20_uniform_0.10_density.argos experiments/4_class/20_uniform_0.20_density.argos experiments/4_class/3_in_clusters.argos experiments/4_class/3_in_lines.argos experiments/4_class/40_uniform_0.05_density.argos experiments/4_class/40_uniform_0.10_density.argos experiments/4_class/40_uniform_0.20_density.argos experiments/4_class/4_in_clusters.argos experiments/4_class/4_in_lines.argos experiments/4_class/5_in_clusters.argos experiments/4_class/5_in_lines.argos 
5000 -1.0000 -0.3333 -1.0000 0.3333 -1.0000 -0.3333 4020621193.196 3627304144.639 1365823451.819 1154957347.515 1854560845.874 1518873856.453 2287029761.377 1827028967.153 2956358038.704 3079261823.168 1657190406.991 1097528596.894 355239957.063 123417467.357 519376751.727 202853444.090 615348764.691 278721473.876 296414700.538 223441467.471 10040731.672 7820305.775 2518950.506 42995234.569 12606438.552 9810857.358 57363889.329 25660532.470 14238880.845 36346005.842 10613405.892 301845563.666 133604620.150 66418941.044 63776598.111 27669837.289 112690273.154 35612465.176 
5001 -1.0000 -0.3333 -1.0000 0.3333 -1.0000 0.0000 4020621193.196 3627304144.639 1365823451.819 1154957347.515 1854560845.874 1518873856.453 2287029761.377 1827028967.153 2956358038.704 3079261823.168 1657190406.991 1097528596.894 355239957.063 123417467.357 519376751.727 202853444.090 615348764.691 278721473.876 296414700.538 223441467.471 10040731.672 7820305.775 2518950.506 42995234.569 12606438.552 9810857.358 57363889.329 25660532.470 14238880.845 36346005.842 10613405.892 301845563.666 133604620.150 66418941.044 63776598.111 27669837.289 112690273.154 35612465.176 
5002 -1.0000 -0.3333 -1.0000 0.3333 -1.0000 0.3333 4020621193.196 3627304144.639 1365823451.819 1154957347.515 1854560845.874 1518873856.453 2287029761.377 1827028967.153 2956358038.704 3079261823.168 1657190406.991 1097528596.894 355239957.063 123417467.357 519376751.727 202853444.090 615348764.691 278721473.876 296414700.538 223441467.471 10040731.672 7820305.775 2518950.506 42995234.569 12606438.552 9810857.358 57363889.329 25660532.470 14238880.845 36346005.842 10613405.892 301845563.666 133604620.150 66418941.044 63776598.111 27669837.289 112690273.154 35612465.176 
5003 -1.0000 -0.3333 -1.0000 0.3333 -1.0000 0.6667 4020621193.196 3627304144.639 1365823451.819 1154957347.515 1854560845.874 1518873856.453 2287029761.377 1827028967.153 2956358038.704 3079261823.168 1657190406.991 1097528596.894 355239957.063 123417467.357 519376751.727 202853444.090 615348764.691 278721473.876 296414700.538 223441467.471 10040731.672 7820305.775 2518950.506 42995234.569 12606438.552 9810857.358 57363889.329 25660532.470 14238880.845 36346005.842 10613405.892 301845563.666 133604620.150 66418941.044 63776598.111 27669837.289 112690273.154 35612465.176 
5004 -1.0000 -0.3333 -1.0000 0.3333 -1.0000 1.0000 4020621193.196 3627304144.639 1365823451.819 1154957347.515 1854560845.874 1518873856.453 2287029761.377 1827028967.153 2956358038.704 3079261823.168 1657190406.991 1097528596.894 355239957.063 123417467.357 519376751.727 202853444.090 615348764.691 278721473.876 296414700.538 223441467.471 10040731.672 7820305.775 2518950.506 42995234.569 12606438.552 9810857.358 57363889.329 25660532.470 14238880.845 36346005.842 10613405.892 301845563.666 133604620.150 66418941.044 63776598.111 27669837.289 112690273.154 35612465.176 
5005 -1.0000 -0.3333 -1.0000 0.3333 -0.6667 -1.0000 4020621193.196 3627304144.639 1365823451.819 1154957347.515 1854560845.874 1518873856.453 2287029761.377 1827028967.153 2956358038.704 3079261823.168 1580373772.513 968700327.334 304662460.795 93176758.636 432093022.784 150325405.854 521389768.582 230590400.847 251899592.590 211808190.405 8559466.132 4387921.502 1834376.285 29258946.170 10753413.690 6472725.719 45009878.804 25413748.929 13739015.186 29584707.371 13503627.891 240556296.397 110039996.305 57815045.575 63585482.819 26423783.395 86770207.734 35497304.154 
5006 -1.0000 -0.3333 -1.0000 0.3333 -0.6667 -0.6667 4020621193.196 3627304144.639 1365823451.819 1154957347.515 1854560845.874 1518873856.453 2287029761.377 1827028967.153 2956358038.704 3079261823.168 1580373772.513 968700327.334 304662460.795 93176758.636 432093022.784 150325405.854 521389768.582 230590400.847 251899592.590 211808190.405 8559466.132 4387921.502 1834376.285 29258946.170 10753413.690 6472725.719 45009878.804 25413748.929 13739015.186 29584707.371 13503627.891 240556296.397 110039996.305 57815045.575 63585482.819 26423783.395 86770207.734 35497304.154 
5007 -1.0000 -0.3333 -1.0000 0.3333 -0.6667 -0.3333 4020621193.196 3627304144.639 1365823451.819 1154957347.515 1854560845.874 1518873856.453 2287029761.377 1827028967.153 2956358038.704 3079261823.168 1580373772.513 968700327.334 304662460.795 93176758.636 432093022.784 150325405.854 521389768.582 230590400.847 251899592.590 211808190.405 8559466.132 4387921.502 1834376.285 29258946.170 10753413.690 6472725.719 45009878.804 25413748.929 13739015.186 29584707.371 13503627.891 240556296.397 110039996.305 57815045.575 63585482.819 26423783.395 86770207.734 35497304.154 
5008 -1.0000 -0.3333 -1.0000 0.3333 -0.6667 0.0000 4020621193.196 3627304144.639 1365823451.819 1154957347.515 1854560845.874 1518873856.453 2287029761.377 1827028967.153 2956358038.704 3079261823.168 1580373772.513 968700327.334 304662460.795 93176758.636 432093022.784 150325405.854 521389768.582 230590400.847 251899592.590 211808190.405 8559466.132 4387921.502 1834376.285 29258946.170 10753413.690 6472725.719 45009878.804 25413748.929 13739015.186 29584707.371 13503627.891 240556296.397 110039996.305 57815045.575 63585482.819 26423783.395 86770207.734 35497304.154 
5009 -1.0000 -0.3333 -1.0000 0.3333 -0.6667 0.3333 4020621193.196 3627304144.639 1365823451.819 1154957347.515 1854560845.874 1518873856.453 2287029761.377 1827028967.153 2956358038.704 3079261823.168 1580373772.513 968700327.334 304662460.795 93176758.636 432093022.784 150325405.854 521389768.582 230590400.847 251899592.590 211808190.405 8559466.132 4387921.502 1834376.285 29258946.170 10753413.690 6472725.719 45009878.804 25413748.929 13739015.186 29584707.371 13503627.891 240556296.397 110039996.305 57815045.575 63585482.819 26423783.395 86770207.734 35497304.154 
5010 -1.0000 -0.3333 -1.0000 0.3333 -0.6667 0.6667 4020621193.196 3627304144.639 1365823451.819 1154957347.515 1854560845.874 1518873856.453 2287029761.377 1827028967.153 2956358038.704 3079261823.168 1580373772.513 968700327.334 304662460.795 93176758.636 432093022.784 150325405.854 521389768.582 230590400.847 251899592.590 211808190.405 8559466.132 4387921.502 1834376.285 29258946.170 10753413.690 6472725.719 45009878.804 25413748.929 13739015.186 29584707.371 13503627.891 240556296.397 110039996.305 57815045.575 63585482.819 26423783.395 86770207.734 35497304.154 
5011 -1.0000 -0.3333 -1.0000 0.3333 -0.6667 1.0000 4020621193.196 3627304144.639 1365823451.819 1154957347.515 1854560845.874 1518873856.453 2287029761.377 1827028967.153 2956358038.704 3079261823.168 1580373772.513 968700327.334 304662460.795 93176758.636 432093022.784 150325405.854 521389768.582 230590400.847 251899592.590 211808190.405 8559466.132 4387921.502 1834376.285 29258946.170 10753413.690 6472725.719 45009878.804 25413748.929 13739015.186 29584707.371 13503627.891 240556296.397 110039996.305 57815045.575 63585482.819 26423783.395 86770207.734 35497304.154 
5012 -1.0000 -0.3333 -1.0000 0.3333 -0.3333 -1.0000 4020621193.196 3627304144.639 1365823451.819 1154957347.515 1854560845.874 1518873856.453 2287029761.377 1827028967.153 2956358038.704 3079261823.168 1347852885.024 671321689.190 209221030.529 54964286.438 322709915.631 94793597.935 445861142.557 151878900.585 174581857.859 191889943.369 5462895.838 2749154.278 4613952.700 22483912.329 9336054.368 7368274.816 27290712.114 16335878.649 11335708.546 18467114.310 8461014.559 179427087.961 83595311.144 46103632.588 44068856.541 24848469.442 62694857.428 21233599.323 
5013 -1.0000 -0.3333 -1.0000 0.3333 -0.3333 -0.6667 4020621193.196 3627304144.639 1365823451.819 1154957347.515 1854560845.874 1518873856.453 2287029761.377 1827028967.153 2956358038.704 3079261823.168 1347852885.024 671321689.190 209221030.529 54964286.438 322709915.631 94793597.935 445861142.557 151878900.585 174581857.859 191889943.369 5462895.838 2749154.278 4613952.700 22483912.329 9336054.368 7368274.816 27290712.114 16335878.649 11335708.546 18467114.310 8461014.559 179427087.961 83595311.144 46103632.588 44068856.541 24848469.442 62694857.428 21233599.323 
5014 -1.0000 -0.3333 -1.0000 0.3333 -0.3333 -0.3333 4020621193.196 3627304144.639 1365823451.819 1154957347.515 1854560845.874 1518873856.453 2287029761.377 1827028967.153 2956358038.704 3079261823.168 1347852885.024 671321689.190 209221030.529 54964286.438 322709915.631 94793597.935 445861142.557 151878900.585 174581857.859 191889943.369 5462895.838 2749154.278 4613952.700 22483912.329 9336054.368 7368274.816 27290712.114 16335878.649 11335708.546 18467114.310 8461014.559 179427087.961 83595311.144 46103632.588 44068856.541 24848469.442 62694857.428 21233599.323 
5015 -1.0000 -0.3333 -1.0000 0.3333 -0.3333 0.0000 4020621193.196 3627304144.639 1365823451.819 1154957347.515 1854560845.874 1518873856.453 2287029761.377 1827028967.153 2956358038.704 3079261823.168 1347852885.024 671321689.190 209221030.529 54964286.438 322709915.631 94793597.935 445861142.557 151878900.585 174581857.859 191889943.369 5462895.838 2749154.278 4613952.700 22483912.329 9336054.368 7368274.816 27290712.114 16335878.649 11335708.546 18467114.310 8461014.559 179427087.961 83595311.144 46103632.588 44068856.541 24848469.442 62694857.428 21233599.323 
