vl0 vr0 vl1 vr1 vl2 vr2 cost
-0.99487446 0.99405914 0.99229004 0.27089471 -0.22114492 0.83424339 -1289.72930556
-0.99439810 0.99833719 0.99067662 0.23507690 -0.26954621 0.85382385 -1305.97791667
-0.99107882 0.99094104 0.99735798 0.26109451 -0.27006417 0.81978581 -1323.91138889
-0.98433380 0.97753699 0.99996073 0.28520511 -0.26712873 0.85947966 -1325.58791667
-0.99997167 0.99834334 0.99781691 0.26607581 -0.25488579 0.87831078 -1326.56652778
-0.97903449 0.99505834 0.99897396 0.24005552 -0.41510534 0.83296403 -1327.12111111
-0.99992322 0.97746163 0.99571822 0.25022318 -0.33304557 0.88263992 -1330.96263889
-0.99838766 0.99397386 0.99999741 0.26273861 -0.20367120 0.88068656 -1331.23319444
-0.97222009 0.99640003 0.98586224 0.26535168 -0.47923027 0.81444187 -1337.89902778
-0.99964633 0.99652484 0.99480736 0.22141356 -0.05197665 0.91892578 -1346.95930556
