- - - - - - - experiments/1_class/10_in_clusters.argos experiments/1_class/10_in_lines.argos experiments/1_class/3_in_clusters.argos experiments/1_class/3_in_lines.argos experiments/1_class/4_in_clusters.argos experiments/1_class/4_in_lines.argos experiments/1_class/5_in_clusters.argos experiments/1_class/5_in_lines.argos experiments/2_class/10_in_clusters.argos experiments/2_class/10_in_lines.argos experiments/2_class/3_in_clusters.argos experiments/2_class/3_in_lines.argos experiments/2_class/4_in_clusters.argos experiments/2_class/4_in_lines.argos experiments/2_class/5_in_clusters.argos experiments/2_class/5_in_lines.argos experiments/4_class/10_in_clusters.argos experiments/4_class/10_in_lines.argos experiments/4_class/12_uniform_0.05_density.argos experiments/4_class/12_uniform_0.10_density.argos experiments/4_class/12_uniform_0.20_density.argos experiments/4_class/16_uniform_0.05_density.argos experiments/4_class/16_uniform_0.10_density.argos experiments/4_class/16_uniform_0.20_density.argos experiments/4_class/20_uniform_0.05_density.argos experiments/4_class/20_uniform_0.10_density.argos experiments/4_class/20_uniform_0.20_density.argos experiments/4_class/3_in_clusters.argos experiments/4_class/3_in_lines.argos experiments/4_class/40_uniform_0.05_density.argos experiments/4_class/40_uniform_0.10_density.argos experiments/4_class/40_uniform_0.20_density.argos experiments/4_class/4_in_clusters.argos experiments/4_class/4_in_lines.argos experiments/4_class/5_in_clusters.argos experiments/4_class/5_in_lines.argos
100000 0.6667 1.0000 0.3333 0.0000 0.6667 0.6667 -496.500 -658.750 -1286.165 -1203.335 -906.000 -900.000 -880.400 -722.100 -496.500 -658.750 -1286.165 -1203.335 -906.000 -900.000 -880.400 -722.100 -496.500 -658.750 -1208.000 -1755.835 -1237.000 -1096.750 -926.625 -1336.250 -960.700 -816.300 -763.100 -1286.165 -1203.335 -423.350 -404.600 -440.050 -906.000 -900.000 -880.400 -722.100
100001 0.6667 1.0000 0.3333 0.0000 0.6667 1.0000 -1135.800 -1004.600 -2294.665 -2123.000 -1756.125 -1669.500 -1432.000 -1540.900 -1135.800 -1004.600 -2294.665 -2123.000 -1756.125 -1669.500 -1432.000 -1540.900 -1135.800 -1004.600 -2251.665 -2317.835 -2087.335 -1313.375 -1764.375 -1442.625 -1977.000 -1522.300 -1521.400 -2294.665 -2123.000 -1056.550 -1095.700 -1220.100 -1756.125 -1669.500 -1432.000 -1540.900
100002 0.6667 1.0000 0.3333 0.0000 1.0000 -1.0000 -364.000 -437.750 -1200.000 -1200.000 -900.000 -900.000 -722.300 -720.000 -364.000 -437.750 -1200.000 -1200.000 -900.000 -900.000 -722.300 -720.000 -364.000 -437.750 -1439.835 -1220.835 -1444.165 -1273.750 -1115.125 -1104.500 -1034.800 -865.600 -883.300 -1200.000 -1200.000 -617.550 -453.450 -716.550 -900.000 -900.000 -722.300 -720.000
100003 0.6667 1.0000 0.3333 0.0000 1.0000 -0.6667 -363.650 -487.900 -1200.000 -1200.000 -900.000 -900.000 -722.200 -720.000 -363.650 -487.900 -1200.000 -1200.000 -900.000 -900.000 -722.200 -720.000 -363.650 -487.900 -1441.165 -1436.835 -1432.500 -1280.750 -1109.000 -1110.250 -1049.100 -881.400 -735.800 -1200.000 -1200.000 -603.200 -620.050 -557.400 -900.000 -900.000 -722.200 -720.000
100004 0.6667 1.0000 0.3333 0.0000 1.0000 -0.3333 -367.600 -460.200 -1200.000 -1200.000 -900.000 -900.000 -798.600 -720.000 -367.600 -460.200 -1200.000 -1200.000 -900.000 -900.000 -798.600 -720.000 -367.600 -460.200 -1441.165 -1441.000 -1211.165 -1282.375 -1105.500 -1103.500 -1007.900 -1058.000 -879.100 -1200.000 -1200.000 -661.250 -453.200 -524.000 -900.000 -900.000 -798.600 -720.000
100005 0.6667 1.0000 0.3333 0.0000 1.0000 0.0000 -373.550 -403.950 -1200.000 -1200.000 -900.000 -1054.375 -748.300 -720.000 -373.550 -403.950 -1200.000 -1200.000 -900.000 -1054.375 -748.300 -720.000 -373.550 -403.950 -1618.665 -1442.165 -1465.665 -1095.375 -1104.125 -1105.750 -894.800 -869.100 -914.800 -1200.000 -1200.000 -528.950 -425.300 -498.450 -900.000 -1054.375 -748.300 -720.000
100006 0.6667 1.0000 0.3333 0.0000 1.0000 0.3333 -364.800 -360.000 -1200.000 -1200.000 -900.000 -1053.875 -727.400 -720.000 -364.800 -360.000 -1200.000 -1200.000 -900.000 -1053.875 -727.400 -720.000 -364.800 -360.000 -1399.000 -1445.835 -1564.335 -1282.375 -927.125 -950.375 -1002.800 -742.400 -910.800 -1200.000 -1200.000 -562.700 -525.650 -482.850 -900.000 -1053.875 -727.400 -720.000
100007 0.6667 1.0000 0.3333 0.0000 1.0000 0.6667 -374.850 -368.000 -1200.000 -1200.000 -900.375 -900.000 -749.800 -720.000 -374.850 -368.000 -1200.000 -1200.000 -900.375 -900.000 -749.800 -720.000 -374.850 -368.000 -1257.500 -1240.665 -1583.000 -1276.750 -950.000 -1134.875 -1021.100 -729.600 -1258.000 -1200.000 -1200.000 -536.550 -479.550 -433.700 -900.375 -900.000 -749.800 -720.000
100008 0.6667 1.0000 0.3333 0.0000 1.0000 1.0000 -409.650 -793.250 -1317.335 -1654.000 -1026.625 -900.500 -732.200 -743.600 -409.650 -793.250 -1317.335 -1654.000 -1026.625 -900.500 -732.200 -743.600 -409.650 -793.250 -1794.665 -1482.500 -1210.500 -1132.250 -1178.500 -912.375 -726.100 -1599.600 -803.000 -1317.335 -1654.000 -654.100 -390.500 -524.700 -1026.625 -900.500 -732.200 -743.600
100009 0.6667 1.0000 0.3333 0.3333 -1.0000 -1.0000 -788.200 -1021.350 -2335.835 -1935.000 -1607.875 -2455.250 -1507.200 -1635.300 -788.200 -1021.350 -2335.835 -1935.000 -1607.875 -2455.250 -1507.200 -1635.300 -788.200 -1021.350 -2176.000 -2345.335 -2627.500 -1776.500 -1818.875 -1768.500 -1712.700 -1559.900 -1637.700 -2335.835 -1935.000 -1404.200 -1024.550 -1057.500 -1607.875 -2455.250 -1507.200 -1635.300
