- - - - - - - experiments/1_class/10_in_clusters.argos experiments/1_class/10_in_lines.argos experiments/1_class/3_in_clusters.argos experiments/1_class/3_in_lines.argos experiments/1_class/4_in_clusters.argos experiments/1_class/4_in_lines.argos experiments/1_class/5_in_clusters.argos experiments/1_class/5_in_lines.argos experiments/2_class/10_in_clusters.argos experiments/2_class/10_in_lines.argos experiments/2_class/3_in_clusters.argos experiments/2_class/3_in_lines.argos experiments/2_class/4_in_clusters.argos experiments/2_class/4_in_lines.argos experiments/2_class/5_in_clusters.argos experiments/2_class/5_in_lines.argos experiments/4_class/10_in_clusters.argos experiments/4_class/10_in_lines.argos experiments/4_class/12_uniform_0.05_density.argos experiments/4_class/12_uniform_0.10_density.argos experiments/4_class/12_uniform_0.20_density.argos experiments/4_class/16_uniform_0.05_density.argos experiments/4_class/16_uniform_0.10_density.argos experiments/4_class/16_uniform_0.20_density.argos experiments/4_class/20_uniform_0.05_density.argos experiments/4_class/20_uniform_0.10_density.argos experiments/4_class/20_uniform_0.20_density.argos experiments/4_class/3_in_clusters.argos experiments/4_class/3_in_lines.argos experiments/4_class/40_uniform_0.05_density.argos experiments/4_class/40_uniform_0.10_density.argos experiments/4_class/40_uniform_0.20_density.argos experiments/4_class/4_in_clusters.argos experiments/4_class/4_in_lines.argos experiments/4_class/5_in_clusters.argos experiments/4_class/5_in_lines.argos 
49000 -0.3333 1.0000 -0.3333 1.0000 -1.0000 -1.0000 -637.800 -818.350 -1719.665 -1489.500 -1312.000 -1817.125 -1039.200 -1048.100 -637.800 -818.350 -1719.665 -1489.500 -1312.000 -1817.125 -1039.200 -1048.100 -637.800 -818.350 -2189.500 -2721.165 -2268.335 -1831.250 -1775.875 -1698.500 -1498.000 -1448.100 -1160.600 -1719.665 -1489.500 -1022.300 -762.050 -718.350 -1312.000 -1817.125 -1039.200 -1048.100 
49001 -0.3333 1.0000 -0.3333 1.0000 -1.0000 -0.6667 -1215.750 -798.850 -1323.500 -1396.000 -1780.750 -1917.625 -1498.100 -1090.900 -1215.750 -798.850 -1323.500 -1396.000 -1780.750 -1917.625 -1498.100 -1090.900 -1215.750 -798.850 -2051.165 -2470.335 -2316.665 -1983.875 -1912.625 -2063.625 -1815.500 -2001.200 -1991.600 -1323.500 -1396.000 -1464.450 -1432.100 -1386.550 -1780.750 -1917.625 -1498.100 -1090.900 
49002 -0.3333 1.0000 -0.3333 1.0000 -1.0000 -0.3333 -982.400 -733.250 -1370.500 -1316.335 -1355.500 -1744.875 -1352.900 -1123.400 -982.400 -733.250 -1370.500 -1316.335 -1355.500 -1744.875 -1352.900 -1123.400 -982.400 -733.250 -2002.500 -1861.165 -2300.165 -1688.250 -2050.125 -2018.375 -1626.600 -1765.600 -2221.800 -1370.500 -1316.335 -1398.150 -1328.050 -1303.250 -1355.500 -1744.875 -1352.900 -1123.400 
49003 -0.3333 1.0000 -0.3333 1.0000 -1.0000 0.0000 -986.550 -612.600 -1369.835 -1260.335 -1305.375 -1327.625 -1372.600 -1070.600 -986.550 -612.600 -1369.835 -1260.335 -1305.375 -1327.625 -1372.600 -1070.600 -986.550 -612.600 -1711.835 -1663.835 -2199.835 -1812.125 -1851.875 -2074.125 -1495.700 -1780.600 -1839.700 -1369.835 -1260.335 -1212.650 -1196.750 -1289.900 -1305.375 -1327.625 -1372.600 -1070.600 
49004 -0.3333 1.0000 -0.3333 1.0000 -1.0000 0.3333 -925.700 -617.850 -1200.000 -1200.000 -1070.500 -1057.875 -1301.400 -914.900 -925.700 -617.850 -1200.000 -1200.000 -1070.500 -1057.875 -1301.400 -914.900 -925.700 -617.850 -1544.835 -1676.835 -1868.665 -1502.500 -1760.250 -2085.375 -1317.400 -1745.000 -1813.800 -1200.000 -1200.000 -1129.250 -1178.300 -1541.750 -1070.500 -1057.875 -1301.400 -914.900 
49005 -0.3333 1.0000 -0.3333 1.0000 -1.0000 0.6667 -890.700 -581.150 -1243.335 -1200.000 -955.625 -1002.125 -1268.600 -886.500 -890.700 -581.150 -1243.335 -1200.000 -955.625 -1002.125 -1268.600 -886.500 -890.700 -581.150 -1474.165 -1699.335 -2043.500 -1273.750 -1572.375 -2004.375 -1281.300 -1659.400 -1541.100 -1243.335 -1200.000 -1008.500 -1085.500 -1305.850 -955.625 -1002.125 -1268.600 -886.500 
49006 -0.3333 1.0000 -0.3333 1.0000 -1.0000 1.0000 -868.700 -478.450 -1200.000 -1200.000 -900.000 -927.875 -1146.800 -784.100 -868.700 -478.450 -1200.000 -1200.000 -900.000 -927.875 -1146.800 -784.100 -868.700 -478.450 -1432.165 -1577.665 -1815.835 -1179.375 -1567.125 -1897.250 -1240.300 -1615.700 -1675.200 -1200.000 -1200.000 -920.300 -940.600 -1266.750 -900.000 -927.875 -1146.800 -784.100 
49007 -0.3333 1.0000 -0.3333 1.0000 -0.6667 -1.0000 -574.950 -620.550 -1490.165 -1779.000 -1115.375 -1490.625 -1153.300 -885.200 -574.950 -620.550 -1490.165 -1779.000 -1115.375 -1490.625 -1153.300 -885.200 -574.950 -620.550 -2035.165 -2057.665 -1988.000 -1419.875 -1307.750 -1434.625 -998.600 -1354.300 -1418.100 -1490.165 -1779.000 -548.750 -515.850 -624.100 -1115.375 -1490.625 -1153.300 -885.200 
49008 -0.3333 1.0000 -0.3333 1.0000 -0.6667 -0.6667 -777.200 -727.750 -1309.500 -1246.835 -1190.125 -1098.375 -1248.800 -1016.900 -777.200 -727.750 -1309.500 -1246.835 -1190.125 -1098.375 -1248.800 -1016.900 -777.200 -727.750 -2217.835 -2653.165 -1770.000 -1800.000 -1593.000 -1767.125 -1615.400 -1350.700 -1298.900 -1309.500 -1246.835 -1059.900 -923.150 -682.100 -1190.125 -1098.375 -1248.800 -1016.900 
49009 -0.3333 1.0000 -0.3333 1.0000 -0.6667 -0.3333 -971.650 -851.050 -1324.665 -1312.000 -1299.250 -1659.250 -1486.000 -1098.400 -971.650 -851.050 -1324.665 -1312.000 -1299.250 -1659.250 -1486.000 -1098.400 -971.650 -851.050 -1880.835 -2073.500 -2139.000 -1616.000 -1837.375 -2132.000 -1628.200 -1881.900 -2121.800 -1324.665 -1312.000 -1232.700 -1247.350 -1572.800 -1299.250 -1659.250 -1486.000 -1098.400 
